Date,Open,High,Low,Close,Adj Close,Volume
2022-12-30,128.41,129.95,127.43,129.93,129.93,76960600
2022-12-29,127.99,130.48,127.73,129.61,129.61,75703700
2022-12-28,129.67,131.03,125.87,126.04,126.04,85438400
2022-12-27,131.38,131.41,128.72,130.03,130.03,69007800
2022-12-23,130.92,132.42,129.64,131.86,131.86,63814900
2022-12-22,134.35,134.56,130.3,132.23,132.23,77852100
2022-12-21,132.98,136.81,132.75,135.45,135.45,85928000
2022-12-20,131.39,133.25,129.89,132.3,132.3,77432800
2022-12-19,135.11,135.2,131.32,132.37,132.37,79592600
2022-12-16,136.69,137.65,133.73,134.51,134.51,160080100
2022-12-15,141.11,141.8,136.03,136.5,136.5,98931900
2022-12-14,145.35,146.66,141.16,143.21,143.21,82291200
2022-12-13,149.5,149.97,144.24,145.47,145.47,93886200
2022-12-12,142.7,144.5,141.06,144.49,144.49,70462700
2022-12-09,142.34,145.57,140.9,142.16,142.16,76069500
2022-12-08,142.36,143.52,141.1,142.65,142.65,62128300
2022-12-07,142.19,143.37,140.0,140.94,140.94,69721100
2022-12-06,147.07,147.3,141.92,142.91,142.91,64727200
2022-12-05,147.77,150.92,145.77,146.63,146.63,68826400
2022-12-02,145.96,148.0,145.65,147.81,147.81,65421400
2022-12-01,148.21,149.13,146.61,148.31,148.31,71250400
2022-11-30,141.4,148.72,140.55,148.03,148.03,111224400
2022-11-29,144.29,144.81,140.35,141.17,141.17,83763800
2022-11-28,145.14,146.64,143.38,144.22,144.22,69246000
2022-11-25,148.31,148.88,147.12,148.11,148.11,35195900
2022-11-23,149.45,151.83,149.34,151.07,151.07,58301400
2022-11-22,148.13,150.42,146.93,150.18,150.18,51804100
2022-11-21,150.16,150.37,147.72,148.01,148.01,58724100
2022-11-18,152.31,152.7,149.97,151.29,151.29,74829600
2022-11-17,146.43,151.48,146.15,150.72,150.72,80389400
2022-11-16,149.13,149.87,147.29,148.79,148.79,64218300
2022-11-15,152.22,153.59,148.56,150.04,150.04,89868300
2022-11-14,148.97,150.28,147.43,148.28,148.28,73374100
2022-11-11,145.82,150.01,144.37,149.7,149.7,93979700
2022-11-10,141.24,146.87,139.5,146.87,146.87,118854000
2022-11-09,138.5,138.55,134.59,134.87,134.87,74917800
2022-11-08,140.41,141.43,137.49,139.5,139.5,89908500
2022-11-07,137.11,139.15,135.67,138.92,138.92,83374600
2022-11-04,142.09,142.67,134.38,138.38,138.38,140814800
2022-11-03,142.06,142.8,138.75,138.88,138.65,97918500
